ConfigID,Benchmark,Elements,Subsets,k,numParticles,maxIterations,c1,c2,w,AvgCoverage,AvgTime(ms)
17,scp43.txt,1000,200,8,20,200,1.5,2.5,0.5,196.2,119.6
17,scp44.txt,1000,200,8,20,200,1.5,2.5,0.5,202.6,115.2
17,scp410.txt,1000,200,8,20,200,1.5,2.5,0.5,207.2,115.6
17,scpa1.txt,3000,300,12,20,200,1.5,2.5,0.5,745.2,268.0
17,scpa2.txt,3000,300,12,20,200,1.5,2.5,0.5,747.6,233.2
17,scpa3.txt,3000,300,12,20,200,1.5,2.5,0.5,746.6,231.8
17,scpa4.txt,3000,300,12,20,200,1.5,2.5,0.5,751.8,237.0
17,scpa5.txt,3000,300,12,20,200,1.5,2.5,0.5,750.4,248.2
17,scpb1.txt,3000,300,12,20,200,1.5,2.5,0.5,1498.6,298.6
17,scpb2.txt,3000,300,12,20,200,1.5,2.5,0.5,1497.2,369.4
17,scpb3.txt,3000,300,12,20,200,1.5,2.5,0.5,1501.6,329.4
17,scpc1.txt,4000,400,16,20,200,1.5,2.5,0.5,1234.4,354.2
17,scpc2.txt,4000,400,16,20,200,1.5,2.5,0.5,1241.8,431.2
17,scpc3.txt,4000,400,16,20,200,1.5,2.5,0.5,1243.6,373.4
18,scp41.txt,1000,200,8,20,200,1.5,2.5,0.8,207.0,105.6
18,scp42.txt,1000,200,8,20,200,1.5,2.5,0.8,197.2,129.2
18,scp43.txt,1000,200,8,20,200,1.5,2.5,0.8,200.2,113.8
18,scp44.txt,1000,200,8,20,200,1.5,2.5,0.8,204.8,100.2
18,scp410.txt,1000,200,8,20,200,1.5,2.5,0.8,205.0,104.4
18,scpa1.txt,3000,300,12,20,200,1.5,2.5,0.8,763.0,256.6
18,scpa2.txt,3000,300,12,20,200,1.5,2.5,0.8,760.0,265.6
18,scpa3.txt,3000,300,12,20,200,1.5,2.5,0.8,760.2,296.4
18,scpa4.txt,3000,300,12,20,200,1.5,2.5,0.8,768.6,214.4
18,scpa5.txt,3000,300,12,20,200,1.5,2.5,0.8,765.4,283.8
18,scpb1.txt,3000,300,12,20,200,1.5,2.5,0.8,1515.2,362.8
18,scpb2.txt,3000,300,12,20,200,1.5,2.5,0.8,1510.0,335.0
18,scpb3.txt,3000,300,12,20,200,1.5,2.5,0.8,1513.8,322.6
18,scpc1.txt,4000,400,16,20,200,1.5,2.5,0.8,1253.4,513.6
18,scpc2.txt,4000,400,16,20,200,1.5,2.5,0.8,1252.0,391.8
18,scpc3.txt,4000,400,16,20,200,1.5,2.5,0.8,1257.2,473.8
19,scp41.txt,1000,200,8,20,200,2.5,0.5,0.2,191.2,128.0
19,scp42.txt,1000,200,8,20,200,2.5,0.5,0.2,185.6,128.6
19,scp43.txt,1000,200,8,20,200,2.5,0.5,0.2,189.4,430.6
19,scp44.txt,1000,200,8,20,200,2.5,0.5,0.2,190.8,150.6
19,scp410.txt,1000,200,8,20,200,2.5,0.5,0.2,190.8,151.8
19,scpa1.txt,3000,300,12,20,200,2.5,0.5,0.2,729.4,261.2
19,scpa2.txt,3000,300,12,20,200,2.5,0.5,0.2,728.2,274.6
19,scpa3.txt,3000,300,12,20,200,2.5,0.5,0.2,732.6,241.4
19,scpa4.txt,3000,300,12,20,200,2.5,0.5,0.2,729.6,233.2
19,scpa5.txt,3000,300,12,20,200,2.5,0.5,0.2,731.0,269.0
19,scpb1.txt,3000,300,12,20,200,2.5,0.5,0.2,1482.0,305.8
19,scpb2.txt,3000,300,12,20,200,2.5,0.5,0.2,1477.0,285.0
19,scpb3.txt,3000,300,12,20,200,2.5,0.5,0.2,1480.6,291.0
19,scpc1.txt,4000,400,16,20,200,2.5,0.5,0.2,1217.2,352.4
19,scpc2.txt,4000,400,16,20,200,2.5,0.5,0.2,1214.0,333.6
19,scpc3.txt,4000,400,16,20,200,2.5,0.5,0.2,1207.2,335.8
20,scp41.txt,1000,200,8,20,200,2.5,0.5,0.5,195.0,113.2
20,scp42.txt,1000,200,8,20,200,2.5,0.5,0.5,191.0,139.0
20,scp43.txt,1000,200,8,20,200,2.5,0.5,0.5,190.8,113.4
20,scp44.txt,1000,200,8,20,200,2.5,0.5,0.5,196.6,118.4
20,scp410.txt,1000,200,8,20,200,2.5,0.5,0.5,195.8,119.8
20,scpa1.txt,3000,300,12,20,200,2.5,0.5,0.5,734.6,223.8
20,scpa2.txt,3000,300,12,20,200,2.5,0.5,0.5,739.2,226.6
20,scpa3.txt,3000,300,12,20,200,2.5,0.5,0.5,741.8,251.6
20,scpa4.txt,3000,300,12,20,200,2.5,0.5,0.5,736.4,222.6
20,scpa5.txt,3000,300,12,20,200,2.5,0.5,0.5,732.6,239.6
20,scpb1.txt,3000,300,12,20,200,2.5,0.5,0.5,1485.2,279.0
20,scpb2.txt,3000,300,12,20,200,2.5,0.5,0.5,1494.4,343.6
20,scpb3.txt,3000,300,12,20,200,2.5,0.5,0.5,1481.0,302.0
20,scpc1.txt,4000,400,16,20,200,2.5,0.5,0.5,1224.6,338.2
20,scpc2.txt,4000,400,16,20,200,2.5,0.5,0.5,1222.4,365.0
20,scpc3.txt,4000,400,16,20,200,2.5,0.5,0.5,1217.2,330.2
21,scp41.txt,1000,200,8,20,200,2.5,0.5,0.8,200.8,110.8
21,scp42.txt,1000,200,8,20,200,2.5,0.5,0.8,192.8,108.6
21,scp43.txt,1000,200,8,20,200,2.5,0.5,0.8,196.0,108.2
21,scp44.txt,1000,200,8,20,200,2.5,0.5,0.8,201.0,144.6
21,scp410.txt,1000,200,8,20,200,2.5,0.5,0.8,200.0,132.2
21,scpa1.txt,3000,300,12,20,200,2.5,0.5,0.8,743.4,213.4
21,scpa2.txt,3000,300,12,20,200,2.5,0.5,0.8,741.6,217.2
21,scpa3.txt,3000,300,12,20,200,2.5,0.5,0.8,745.4,213.0
21,scpa4.txt,3000,300,12,20,200,2.5,0.5,0.8,746.6,239.0
21,scpa5.txt,3000,300,12,20,200,2.5,0.5,0.8,742.0,216.0
21,scpb1.txt,3000,300,12,20,200,2.5,0.5,0.8,1503.2,279.0
21,scpb2.txt,3000,300,12,20,200,2.5,0.5,0.8,1498.0,281.8
21,scpb3.txt,3000,300,12,20,200,2.5,0.5,0.8,1497.2,299.0
21,scpc1.txt,4000,400,16,20,200,2.5,0.5,0.8,1230.8,320.2
21,scpc2.txt,4000,400,16,20,200,2.5,0.5,0.8,1232.8,321.2
21,scpc3.txt,4000,400,16,20,200,2.5,0.5,0.8,1239.8,371.2
